,GO:0030433,GO:0006650,GO:0016567,GO:0006914,GO:0033209,GO:0009267,GO:0043648,GO:0050853,GO:0006915,GO:0006401,GO:0042278,GO:0006303,GO:0000724,GO:0048010,GO:0008203,GO:0009062,GO:0090398,GO:0030036,GO:0007264,GO:0006897,GO:0050900,GO:0006909,GO:0006090,GO:0007623,GO:0050909,GO:0034754,GO:0050852,GO:0006163,GO:0051321,GO:0046486,GO:0050810,GO:0019933,GO:0006790,GO:0006633,GO:0051180,GO:0007179,GO:0006487,GO:0050658,GO:0006289,GO:0016042,GO:0060048,GO:0000165,GO:0030520,GO:0006493,GO:0006665,GO:0006284,GO:0034976,GO:0019722,GO:0016055,GO:2000479
hsa04913,1.1837778706855486,0.28909209292190635,-8.068241501433201,-1.6899779287781724,-0.12839731744341423,-1.2430057806896369,-0.4011460788659009,0.787659969904034,-2.511255046048938,-5.202023486471689,0.21191070245212823,-3.7894468405144575,-6.90873140292923,1.772779545985528,-0.24931386272237768,0.6133319183620926,-0.009537136963219763,-2.8142945824094756,-0.17885257617309944,0.852888838300899,0.20745838541726103,-0.2631680545930281,-0.5361719266838147,-1.0467378985275164,3.2449449187268113,0.02276357415495523,0.6133243318648396,-1.6929258695356388,-3.4926215677197496,0.05882196417283521,0.46336380325992493,4.982430892816793,-2.081682125024347,-0.5571819590488973,-2.1058888732427046,0.5145105693181025,-0.11038976948342573,-4.660697724564825,-6.074830253111676,0.302923432499136,-0.32214320268201707,-0.37396355037697654,-0.3824644391662148,-2.6735337914710846,-0.9903093224734923,-1.4574881357470555,-1.831332223126452,2.647822602878814,-0.7065953890592986,1.9668983672009577
hsa04666,4.1347246027033,1.4256835768807874,8.073652243838325,8.71643699251434,7.461599287783822,6.514450682673068,-1.6105393125761083,6.600611022790133,9.582055050070807,3.127279926673117,1.6895750058062877,1.5583237142786257,1.2593461460536592,7.55077291733265,-2.024472389555841,-2.865155405101837,4.713214396854887,16.197343819631985,12.746951210141725,13.440330195814697,4.422724501919489,5.238151028096059,2.7508469397950046,2.520231703305854,-25.85528454164472,-9.154155854973048,6.429674408975463,3.3090370612223907,-2.632230611117868,1.036766901285428,0.9880037313000293,-14.973399570194461,-2.865756848888262,-2.436025701580304,-4.753125371157862,9.222031543765944,-4.331193462685071,7.52172484294948,3.2869843339788325,-4.023992198900414,-0.3143365370594376,10.57511266608389,3.521633614970518,-10.36839938223188,-10.450905141122224,3.7010457703381365,9.102646203272982,2.64324116167309,1.4490391570042205,4.1024095372042435
hsa04120,8.807670357885907,-9.143201064454583,28.694096579125393,12.071602930645042,7.735912305612186,11.196928902319245,-0.11747470724356861,-0.017296788606946712,17.09432724761264,12.81959197102695,0.6308359762072964,5.378872422798531,7.140034302594567,4.002870139502605,-5.762364620821447,-5.011592884007538,6.999273243177368,10.56667701627769,8.553157789095962,6.854500138748435,-1.7739557458561732,-0.8107627140406056,3.8098341808833642,4.6320278190612205,-35.75632362122181,-17.230107098315983,5.049357751431828,5.26522102066762,0.47277623825318926,-9.316154991659301,1.0609906937411364,-28.894144214908067,-5.402356430955356,-4.647388983942274,-16.575306443623575,7.786571243780325,-2.3269601795331325,12.277593762436066,10.453135975697645,-10.974145499255611,-6.075480189359282,11.066262422742499,4.536659904192943,-8.67491176965625,-19.466270602059993,6.606400901321442,17.075122835224732,-2.8620555303863764,0.18903310237680748,3.691753183096651
hsa04810,3.714515492058317,-3.628097338058541,11.456467851877825,6.484030830242756,4.86983875039708,4.798807755644566,-2.503935117055183,3.722118803001936,11.593075606327218,3.1445754954185556,1.0264185675000372,1.3586873656483254,0.1795719034665984,5.880309258457032,-3.5036034137652434,-4.179705331758312,3.9149900031664795,15.067333643561666,8.704526246464223,10.701012222685396,2.994129554520654,2.6863681447042604,2.743810148265375,2.3841079161947527,0.6361732696551278,-16.724576016684917,5.481063041568524,2.511661501949848,-1.827391233149989,-4.984294128443106,-3.073366414136642,-1.7024177439309431,-6.349598752784809,-2.799670471572744,-5.1777091189032545,6.41099354079495,-3.827851330730226,7.066176480096469,2.194422328654343,-11.523734691181833,-0.4863485417256565,6.461819910448074,2.781833343636659,-7.954845924381384,-13.918473948240111,2.4245125430494507,9.04048978372286,3.3212941709943724,-0.37481514291963364,2.861073190844163
hsa00510,6.5247989584307025,3.010435341992806,-3.7975410839487114,1.6020162861511738,-1.747749105933817,-0.07252307921123528,-0.21842334357368012,-2.6075821312665224,-2.2387592878571914,0.04758299854658791,-0.3604862888626235,-1.056872877240974,-3.0785791024503464,-0.13539377413117382,2.281595616871896,1.7727042957345844,0.20477508967870017,-2.6037423395191994,-1.5598786496681887,-1.0673130447860946,-1.3508200244110025,0.6928988998328072,1.0346090566480575,0.30779117593902877,-20.41969425909933,-2.290773150909562,1.736356327893526,0.8216995441854438,-1.8293952785817527,3.019196827060882,-0.6452042017988686,-6.835210647673705,2.0329653342532152,3.062365420251912,0.8552191951863549,0.5242415005745715,3.502485335432051,1.36654611130569,-2.6456295313255476,1.2030047194754987,-3.567739187288798,-3.253265517674846,0.964395312563437,8.088527565948302,6.23708455891645,-0.05308896833814992,5.307160878368003,-3.630673333203153,0.3364344072193229,0.7494139209912
hsa04024,3.6164820747869033,-4.108071741218156,1.1310025358929134,2.981223836851981,2.7926279850150397,2.007470554784336,-3.800972148902193,1.4546361834162242,3.7731386860994767,-2.848828997012183,0.38772761102851766,-0.015834087196282445,-2.0867599996489887,3.265433931773539,-3.1003558475604467,-3.6297063566175463,2.734103848643435,7.687588080251327,4.8412739675306256,5.876955350089342,4.7126168806636946,1.0211207845233965,1.1466925373960966,1.382733586406193,4.503079551381333,-11.996292298842102,2.919981297533649,-1.4293458621856532,-2.5684157792215645,-5.681181189602324,-2.0771711621604805,4.988713794930138,-11.19704275580236,-2.6956651892037455,-4.650383660847948,3.657237561235418,-1.8119249158103283,2.6248790507297883,0.43380991674302605,-9.995067224564956,0.3894568222456928,3.7625382205039246,1.8909631880797302,-8.267843325497916,-8.480384650087087,0.921335072335433,5.84133222393422,4.792151848639037,-0.42810079738637186,2.3838248447852433
hsa04915,4.944078182245047,-2.277942551503627,10.443269415314848,8.491905959595176,5.783462264211197,6.233489462820931,-2.017927796488045,2.9220493191088366,9.277723419251934,3.13246005952441,0.8268832429937506,2.3229943268576276,1.5560609169428847,5.032920518776662,-3.126891597662376,-4.197221441390875,4.09279494432814,12.748210712102596,8.329475275387008,8.643196511614999,4.758366649413712,1.6515908522399012,2.6813623755412674,3.498148784909181,2.132397659476717,-11.575990876335162,4.971872974116349,2.7438587734094435,-2.4843217228976235,-3.099387119402456,0.37353437125276956,0.7540446538095045,-6.138778907197652,-1.1735571169463024,-5.784092617474858,5.463276702086457,-2.0369418114218707,8.008909303561582,3.52494609930457,-8.182333084536848,-0.9443043148629187,6.7849605466184855,3.2106331856490855,-8.451165573211313,-12.219820167289932,3.0954919945414328,9.995011353502159,3.9528935915495818,0.5520204797495648,3.679354672112544
hsa00920,-2.2573782437049856,-0.34624255703537826,-2.8897542395950158,-2.400580936512735,-1.1410040102920767,-1.6267207659875673,1.694220434376623,-3.333857216911171,-1.904327858916499,-2.881956673407505,0.4840397721295493,0.48334012181068153,-0.08616064303910445,-2.4553224728672136,-0.40960470564653256,1.4492058346675867,-0.7431223344920921,-2.2570542538676808,-2.187475171675877,-2.9684866918910786,-3.2394327477722036,-1.124795284758868,1.2816532283843227,-0.6697948577667563,-6.532924066634055,0.25901896687084924,-2.3279217255980567,0.2682499791964953,-0.08270439792167565,-0.3152881266468868,-0.7918747832364433,-4.459355999286476,0.980509267410817,0.4805409729528666,-0.34482065703930675,-2.183787320270562,0.5232926095636661,-2.1644300445334523,-1.0278412166410376,0.8259138556120882,-1.5059759381873827,-2.8617438867369445,-0.8880209017656681,0.5057105070423508,0.07198082898162236,0.3840508337761513,-2.4307153593981665,-5.508153090460287,-2.0766066795743754,-2.5300672526216843
hsa04260,4.610150093669606,-2.0671033402820225,-5.614885129911508,2.0062642474491406,1.2550396262343673,-0.5225675468283583,2.5848395455515405,-0.8590898723193288,-0.49579825758250873,-2.922138552654183,0.8323366415580814,0.4280417405717282,-1.5039715173327917,1.5992884120656534,0.12681815953629305,2.9895794507386957,1.552877871058478,1.9326004611852674,0.29880092427361954,0.028025010538542186,-6.128746046200351,-1.3608262244302285,2.800490479107719,2.2441422919334353,-16.719709513954204,-6.207128943312993,2.27186804257235,4.712036676453433,-0.8540376223742709,-2.3536169666009132,-2.1532845447459823,-8.203567927896922,-0.07419300453189764,0.6236244759497266,-4.209261811865992,0.27711770004193026,1.763391774578949,2.9952125376497163,-0.34853438874040377,-0.1251532500043914,1.4895738645092638,-3.3832838761445467,1.1085566195929413,-1.1001421999681922,-2.1780694448907596,1.2100689339672497,3.5935823747756546,-2.0806852489700667,-4.7680255117812536,2.212033037871929
hsa04668,6.33219278615364,-4.508322138118813,13.874475594608809,9.058765071176067,5.199333481535167,7.149642501147637,-2.51418380400333,3.388793164930957,11.762479804703739,4.930990039732055,1.3970955051952325,2.7036798728522378,3.2195160161938143,5.505223521712389,-4.355725481172753,-6.609870673009266,6.415033008387183,10.193945826005946,9.433844801764293,6.693605446116562,4.4075838519635235,3.1768519518531866,2.5945033272160924,3.804219316962683,-4.450510338645851,-17.63006006835193,6.28843655644148,1.958733064936914,-2.642800678399927,-4.874682007514108,-0.11091372670393555,0.03173225082582029,-7.21125305391627,-2.6868731784272484,-11.035604658207355,8.11895996937541,-4.341379322791973,6.826770604357396,5.014223066220945,-10.640465289322691,-2.575701707698496,8.818949948052088,3.491955737597048,-9.046669590435968,-14.96087568795076,3.9765084794364554,8.817247394878892,2.4431379924477215,0.9086468408375303,4.031698298820118
